Text;Size;Color;Angle;Font;Repeat;URL
nadie;137;Random;Random;Random;Yes;
hay;137;Random;Random;Random;Yes;
falta;136;Random;Random;Random;Yes;
te;135;Random;Random;Random;Yes;
gran;135;Random;Random;Random;Yes;
meno;134;Random;Random;Random;Yes;
elnacionalweb;134;Random;Random;Random;Yes;
mientra;133;Random;Random;Random;Yes;
mañana;133;Random;Random;Random;Yes;
follow;132;Random;Random;Random;Yes;
mariacorinaya;131;Random;Random;Random;Yes;
love;131;Random;Random;Random;Yes;
buena;131;Random;Random;Random;Yes;
crisi;130;Random;Random;Random;Yes;
vamos;127;Random;Random;Random;Yes;
000;127;Random;Random;Random;Yes;
vídeo;127;Random;Random;Random;Yes;
será;126;Random;Random;Random;Yes;
estado;125;Random;Random;Random;Yes;
casa;124;Random;Random;Random;Yes;
comida;122;Random;Random;Random;Yes;
mismo;121;Random;Random;Random;Yes;
cosa;121;Random;Random;Random;Yes;
nueva;121;Random;Random;Random;Yes;
verdad;121;Random;Random;Random;Yes;
grand;121;Random;Random;Random;Yes;
trump;121;Random;Random;Random;Yes;
claro;120;Random;Random;Random;Yes;
mujer;120;Random;Random;Random;Yes;
le;120;Random;Random;Random;Yes;
amor;120;Random;Random;Random;Yes;
última;119;Random;Random;Random;Yes;
quiero;118;Random;Random;Random;Yes;
thank;118;Random;Random;Random;Yes;
san;118;Random;Random;Random;Yes;
saqueo;118;Random;Random;Random;Yes;
di;118;Random;Random;Random;Yes;
mud;117;Random;Random;Random;Yes;
one;117;Random;Random;Random;Yes;
vzla;117;Random;Random;Random;Yes;
social;117;Random;Random;Random;Yes;
albertort51;117;Random;Random;Random;Yes;
chavista;116;Random;Random;Random;Yes;
eleccion;115;Random;Random;Random;Yes;
voto;114;Random;Random;Random;Yes;
fuert;114;Random;Random;Random;Yes;
meses;114;Random;Random;Random;Yes;
poder;114;Random;Random;Random;Yes;
sigue;113;Random;Random;Random;Yes;
al;113;Random;Random;Random;Yes;
van;113;Random;Random;Random;Yes;
pero;112;Random;Random;Random;Yes;
necesita;112;Random;Random;Random;Yes;
amigo;112;Random;Random;Random;Yes;
noch;111;Random;Random;Random;Yes;
muerte;111;Random;Random;Random;Yes;
12;109;Random;Random;Random;Yes;
hcapriles;109;Random;Random;Random;Yes;
unfollower;109;Random;Random;Random;Yes;
su;109;Random;Random;Random;Yes;
democracia;108;Random;Random;Random;Yes;
votar;108;Random;Random;Random;Yes;
sabe;107;Random;Random;Random;Yes;
cuenta;106;Random;Random;Random;Yes;
enero;105;Random;Random;Random;Yes;
tener;105;Random;Random;Random;Yes;
diputado;105;Random;Random;Random;Yes;
colombia;105;Random;Random;Random;Yes;
11;104;Random;Random;Random;Yes;
internacion;104;Random;Random;Random;Yes;
go;103;Random;Random;Random;Yes;
chile;103;Random;Random;Random;Yes;
fuerza;103;Random;Random;Random;Yes;
year;102;Random;Random;Random;Yes;
lucha;102;Random;Random;Random;Yes;
ustede;101;Random;Random;Random;Yes;
peopl;101;Random;Random;Random;Yes;
medicina;100;Random;Random;Random;Yes;
último;99;Random;Random;Random;Yes;
100;98;Random;Random;Random;Yes;
oposición;98;Random;Random;Random;Yes;
situación;98;Random;Random;Random;Yes;
después;98;Random;Random;Random;Yes;
oficial;97;Random;Random;Random;Yes;
historia;97;Random;Random;Random;Yes;
agua;97;Random;Random;Random;Yes;
caraotadigital;97;Random;Random;Random;Yes;
eso;97;Random;Random;Random;Yes;
twitter;96;Random;Random;Random;Yes;
diosdado;96;Random;Random;Random;Yes;
nada;96;Random;Random;Random;Yes;
trabajo;95;Random;Random;Random;Yes;
hermano;95;Random;Random;Random;Yes;
30;94;Random;Random;Random;Yes;
padre;94;Random;Random;Random;Yes;
pasa;94;Random;Random;Random;Yes;
onu;93;Random;Random;Random;Yes;
dia;92;Random;Random;Random;Yes;
peor;92;Random;Random;Random;Yes;
semana;92;Random;Random;Random;Yes;
venta;92;Random;Random;Random;Yes;
atención;92;Random;Random;Random;Yes;
paz;92;Random;Random;Random;Yes;
decir;92;Random;Random;Random;Yes;
libre;92;Random;Random;Random;Yes;
ayuda;92;Random;Random;Random;Yes;
mil;92;Random;Random;Random;Yes;
bs;92;Random;Random;Random;Yes;
madre;91;Random;Random;Random;Yes;
art;91;Random;Random;Random;Yes;
ntn24ve;90;Random;Random;Random;Yes;
problema;90;Random;Random;Random;Yes;
ayer;90;Random;Random;Random;Yes;
dinero;89;Random;Random;Random;Yes;
salud;89;Random;Random;Random;Yes;
pay;89;Random;Random;Random;Yes;
tú;88;Random;Random;Random;Yes;
maibortpetit;88;Random;Random;Random;Yes;
pernil;88;Random;Random;Random;Yes;
medio;87;Random;Random;Random;Yes;
pdvsa;87;Random;Random;Random;Yes;
sólo;86;Random;Random;Random;Yes;
muerto;86;Random;Random;Random;Yes;
sido;86;Random;Random;Random;Yes;
realdonaldtrump;86;Random;Random;Random;Yes;
ust;85;Random;Random;Random;Yes;
amo;85;Random;Random;Random;Yes;
mucha;85;Random;Random;Random;Yes;
11ene;85;Random;Random;Random;Yes;
luz;84;Random;Random;Random;Yes;
cambio;84;Random;Random;Random;Yes;
curazao;84;Random;Random;Random;Yes;
cuba;83;Random;Random;Random;Yes;
mar;83;Random;Random;Random;Yes;
ve;83;Random;Random;Random;Yes;
del;83;Random;Random;Random;Yes;
periodista;83;Random;Random;Random;Yes;
gnb;83;Random;Random;Random;Yes;
servicio;83;Random;Random;Random;Yes;
cabello;83;Random;Random;Random;Yes;
asambleave;82;Random;Random;Random;Yes;
mal;82;Random;Random;Random;Yes;
palabra;82;Random;Random;Random;Yes;
almagro;81;Random;Random;Random;Yes;
tweet;81;Random;Random;Random;Yes;
único;81;Random;Random;Random;Yes;
primera;81;Random;Random;Random;Yes;
juan;81;Random;Random;Random;Yes;
seguir;81;Random;Random;Random;Yes;
asamblea;81;Random;Random;Random;Yes;
son;80;Random;Random;Random;Yes;
cne;80;Random;Random;Random;Yes;
alguien;80;Random;Random;Random;Yes;
luiscarlos;80;Random;Random;Random;Yes;
miami;80;Random;Random;Random;Yes;
jóvenes;80;Random;Random;Random;Yes;
balseros;80;Random;Random;Random;Yes;
realidad;79;Random;Random;Random;Yes;
ir;79;Random;Random;Random;Yes;
justicia;79;Random;Random;Random;Yes;
luego;79;Random;Random;Random;Yes;
bolívar;79;Random;Random;Random;Yes;
política;79;Random;Random;Random;Yes;
tu;79;Random;Random;Random;Yes;
20;78;Random;Random;Random;Yes;
equipo;78;Random;Random;Random;Yes;
sino;78;Random;Random;Random;Yes;
desd;78;Random;Random;Random;Yes;
parece;78;Random;Random;Random;Yes;
veces;78;Random;Random;Random;Yes;
aún;77;Random;Random;Random;Yes;
tra;77;Random;Random;Random;Yes;
noticia;77;Random;Random;Random;Yes;
time;77;Random;Random;Random;Yes;
hecho;77;Random;Random;Random;Yes;
15;76;Random;Random;Random;Yes;
eeuu;76;Random;Random;Random;Yes;
gener;76;Random;Random;Random;Yes;
ibepacheco;75;Random;Random;Random;Yes;
buen;75;Random;Random;Random;Yes;
centro;75;Random;Random;Random;Yes;
resistencia;74;Random;Random;Random;Yes;
today;74;Random;Random;Random;Yes;
acuerdo;74;Random;Random;Random;Yes;
santo;74;Random;Random;Random;Yes;
trabajador;74;Random;Random;Random;Yes;
marcorubio;74;Random;Random;Random;Yes;
hacia;73;Random;Random;Random;Yes;
person;73;Random;Random;Random;Yes;
respeto;73;Random;Random;Random;Yes;
gt;73;Random;Random;Random;Yes;
mensaje;72;Random;Random;Random;Yes;
pueden;72;Random;Random;Random;Yes;
costa;72;Random;Random;Random;Yes;
help;72;Random;Random;Random;Yes;
él;72;Random;Random;Random;Yes;
llegar;72;Random;Random;Random;Yes;
precio;71;Random;Random;Random;Yes;
paso;71;Random;Random;Random;Yes;
miguel;71;Random;Random;Random;Yes;
cualquier;71;Random;Random;Random;Yes;
punto;71;Random;Random;Random;Yes;
mano;71;Random;Random;Random;Yes;
freddyguevarac;71;Random;Random;Random;Yes;
alto;70;Random;Random;Random;Yes;
constituyente;70;Random;Random;Random;Yes;
mayor;70;Random;Random;Random;Yes;
igual;70;Random;Random;Random;Yes;
alcaldeledezma;70;Random;Random;Random;Yes;
deseo;70;Random;Random;Random;Yes;
hacen;70;Random;Random;Random;Yes;
joven;70;Random;Random;Random;Yes;
alimento;70;Random;Random;Random;Yes;
anc;69;Random;Random;Random;Yes;
hombre;69;Random;Random;Random;Yes;
lui;69;Random;Random;Random;Yes;
puedo;68;Random;Random;Random;Yes;
tal;68;Random;Random;Random;Yes;
oea2015;68;Random;Random;Random;Yes;
creo;68;Random;Random;Random;Yes;
happy;68;Random;Random;Random;Yes;
quien;67;Random;Random;Random;Yes;
camino;67;Random;Random;Random;Yes;
tuitutil;67;Random;Random;Random;Yes;
show;67;Random;Random;Random;Yes;
know;67;Random;Random;Random;Yes;
pa;67;Random;Random;Random;Yes;
ven;67;Random;Random;Random;Yes;
diego;67;Random;Random;Random;Yes;
españa;67;Random;Random;Random;Yes;
frente;67;Random;Random;Random;Yes;
vive;67;Random;Random;Random;Yes;
salir;67;Random;Random;Random;Yes;
18;66;Random;Random;Random;Yes;
comprar;66;Random;Random;Random;Yes;
fin;66;Random;Random;Random;Yes;
nombre;66;Random;Random;Random;Yes;
leonardo;66;Random;Random;Random;Yes;
apoyo;66;Random;Random;Random;Yes;
unido;66;Random;Random;Random;Yes;
rico;66;Random;Random;Random;Yes;
patria;66;Random;Random;Random;Yes;
humanitaria;66;Random;Random;Random;Yes;
cnnee;66;Random;Random;Random;Yes;
re;65;Random;Random;Random;Yes;
lista;65;Random;Random;Random;Yes;
make;65;Random;Random;Random;Yes;
ni;65;Random;Random;Random;Yes;
humano;65;Random;Random;Random;Yes;
chávez;65;Random;Random;Random;Yes;
vivir;64;Random;Random;Random;Yes;
fraud;64;Random;Random;Random;Yes;
corazón;64;Random;Random;Random;Yes;
come;64;Random;Random;Random;Yes;
junto;64;Random;Random;Random;Yes;
want;64;Random;Random;Random;Yes;
electoral;64;Random;Random;Random;Yes;
dólares;64;Random;Random;Random;Yes;
carlos;64;Random;Random;Random;Yes;
salida;64;Random;Random;Random;Yes;
diario;64;Random;Random;Random;Yes;
ciudad;64;Random;Random;Random;Yes;
gustado;64;Random;Random;Random;Yes;
petro;63;Random;Random;Random;Yes;
julioborges;63;Random;Random;Random;Yes;
primer;63;Random;Random;Random;Yes;
nos;63;Random;Random;Random;Yes;
padron;63;Random;Random;Random;Yes;
civil;63;Random;Random;Random;Yes;
patilla;63;Random;Random;Random;Yes;
live;63;Random;Random;Random;Yes;
seguidor;62;Random;Random;Random;Yes;
miedo;62;Random;Random;Random;Yes;
goldenglobes;62;Random;Random;Random;Yes;
triste;62;Random;Random;Random;Yes;
señor;62;Random;Random;Random;Yes;
17;61;Random;Random;Random;Yes;
caso;61;Random;Random;Random;Yes;
ud;61;Random;Random;Random;Yes;
good;61;Random;Random;Random;Yes;
público;61;Random;Random;Random;Yes;
puerto;61;Random;Random;Random;Yes;
comunidad;61;Random;Random;Random;Yes;
aunque;61;Random;Random;Random;Yes;
control;60;Random;Random;Random;Yes;
com;60;Random;Random;Random;Yes;
diciembre;60;Random;Random;Random;Yes;
saben;60;Random;Random;Random;Yes;
información;60;Random;Random;Random;Yes;
media;60;Random;Random;Random;Yes;
opositor;59;Random;Random;Random;Yes;
fe;59;Random;Random;Random;Yes;
sector;59;Random;Random;Random;Yes;
primero;59;Random;Random;Random;Yes;
cara;59;Random;Random;Random;Yes;
respuesta;59;Random;Random;Random;Yes;
narco;59;Random;Random;Random;Yes;
ex;59;Random;Random;Random;Yes;
argentina;59;Random;Random;Random;Yes;
pue;59;Random;Random;Random;Yes;
viva;58;Random;Random;Random;Yes;
resultado;58;Random;Random;Random;Yes;
quieren;58;Random;Random;Random;Yes;
final;58;Random;Random;Random;Yes;
fiscal;58;Random;Random;Random;Yes;
chavismo;58;Random;Random;Random;Yes;
porqu;58;Random;Random;Random;Yes;
madrid;58;Random;Random;Random;Yes;
sí;58;Random;Random;Random;Yes;
forma;58;Random;Random;Random;Yes;
real;58;Random;Random;Random;Yes;
pobre;58;Random;Random;Random;Yes;
partido;57;Random;Random;Random;Yes;
futuro;57;Random;Random;Random;Yes;
casi;57;Random;Random;Random;Yes;
quién;57;Random;Random;Random;Yes;
ht;57;Random;Random;Random;Yes;
family;57;Random;Random;Random;Yes;
tanta;57;Random;Random;Random;Yes;
grupo;57;Random;Random;Random;Yes;
detenido;57;Random;Random;Random;Yes;
ramírez;57;Random;Random;Random;Yes;
cola;57;Random;Random;Random;Yes;
importante;56;Random;Random;Random;Yes;
tarde;56;Random;Random;Random;Yes;
haber;56;Random;Random;Random;Yes;
mierda;56;Random;Random;Random;Yes;
hija;56;Random;Random;Random;Yes;
basura;56;Random;Random;Random;Yes;
hospital;56;Random;Random;Random;Yes;
candidato;56;Random;Random;Random;Yes;
colombiano;56;Random;Random;Random;Yes;
dar;56;Random;Random;Random;Yes;
usa;56;Random;Random;Random;Yes;
pm;55;Random;Random;Random;Yes;
juego;55;Random;Random;Random;Yes;
gana;55;Random;Random;Random;Yes;
saber;55;Random;Random;Random;Yes;
podemos;55;Random;Random;Random;Yes;
orden;55;Random;Random;Random;Yes;
need;55;Random;Random;Random;Yes;
nuestro;55;Random;Random;Random;Yes;
idea;55;Random;Random;Random;Yes;
cumple;55;Random;Random;Random;Yes;
2014;54;Random;Random;Random;Yes;
sale;54;Random;Random;Random;Yes;
felicidad;54;Random;Random;Random;Yes;
deja;54;Random;Random;Random;Yes;
htt;54;Random;Random;Random;Yes;
work;54;Random;Random;Random;Yes;
gasolina;54;Random;Random;Random;Yes;
socialismo;54;Random;Random;Random;Yes;
vivo;54;Random;Random;Random;Yes;
voy;54;Random;Random;Random;Yes;
ant;54;Random;Random;Random;Yes;
programa;54;Random;Random;Random;Yes;
latest;54;Random;Random;Random;Yes;
lado;53;Random;Random;Random;Yes;
cierto;53;Random;Random;Random;Yes;
domingo;53;Random;Random;Random;Yes;
corrupción;53;Random;Random;Random;Yes;
last;53;Random;Random;Random;Yes;
comer;53;Random;Random;Random;Yes;
vs;53;Random;Random;Random;Yes;
total;53;Random;Random;Random;Yes;
méxico;53;Random;Random;Random;Yes;
great;53;Random;Random;Random;Yes;
clap;53;Random;Random;Random;Yes;
compra;53;Random;Random;Random;Yes;
jesú;53;Random;Random;Random;Yes;
nicolás;53;Random;Random;Random;Yes;
estudiante;53;Random;Random;Random;Yes;
liliantintori;53;Random;Random;Random;Yes;
sanciones;53;Random;Random;Random;Yes;
vote;52;Random;Random;Random;Yes;
llamado;52;Random;Random;Random;Yes;
life;52;Random;Random;Random;Yes;
asi;52;Random;Random;Random;Yes;
ti;52;Random;Random;Random;Yes;
medicamento;52;Random;Random;Random;Yes;
manera;52;Random;Random;Random;Yes;
intervención;52;Random;Random;Random;Yes;
ello;52;Random;Random;Random;Yes;
see;52;Random;Random;Random;Yes;
habla;52;Random;Random;Random;Yes;
dan;52;Random;Random;Random;Yes;
serviciopúblico;52;Random;Random;Random;Yes;
instagram;52;Random;Random;Random;Yes;
way;51;Random;Random;Random;Yes;
world;51;Random;Random;Random;Yes;
uno;51;Random;Random;Random;Yes;
isnardobravo;51;Random;Random;Random;Yes;
queremos;51;Random;Random;Random;Yes;
estamos;51;Random;Random;Random;Yes;
hasta;51;Random;Random;Random;Yes;
única;51;Random;Random;Random;Yes;
asesino;51;Random;Random;Random;Yes;
denuncia;51;Random;Random;Random;Yes;
arria;51;Random;Random;Random;Yes;
guerra;51;Random;Random;Random;Yes;
16;50;Random;Random;Random;Yes;
excelente;50;Random;Random;Random;Yes;
república;50;Random;Random;Random;Yes;
seguro;50;Random;Random;Random;Yes;
mundial;50;Random;Random;Random;Yes;
esposa;50;Random;Random;Random;Yes;
escasez;50;Random;Random;Random;Yes;
av;50;Random;Random;Random;Yes;
metro;50;Random;Random;Random;Yes;
posibl;50;Random;Random;Random;Yes;
pronto;50;Random;Random;Random;Yes;
week;50;Random;Random;Random;Yes;
pasar;50;Random;Random;Random;Yes;
paciente;50;Random;Random;Random;Yes;
javierito321;50;Random;Random;Random;Yes;
gobernador;50;Random;Random;Random;Yes;
tsj;50;Random;Random;Random;Yes;
25;49;Random;Random;Random;Yes;
unidadvenezuela;49;Random;Random;Random;Yes;
ningún;49;Random;Random;Random;Yes;
er;49;Random;Random;Random;Yes;
oportunidad;49;Random;Random;Random;Yes;
watch;49;Random;Random;Random;Yes;
amante;49;Random;Random;Random;Yes;
miseria;49;Random;Random;Random;Yes;
vale;49;Random;Random;Random;Yes;
dijo;49;Random;Random;Random;Yes;
cree;49;Random;Random;Random;Yes;
banco;49;Random;Random;Random;Yes;
alerta;49;Random;Random;Random;Yes;
give;49;Random;Random;Random;Yes;
miss;49;Random;Random;Random;Yes;
dicen;48;Random;Random;Random;Yes;
sería;48;Random;Random;Random;Yes;
dije;48;Random;Random;Random;Yes;
music;48;Random;Random;Random;Yes;
importa;48;Random;Random;Random;Yes;
contigo;48;Random;Random;Random;Yes;
right;48;Random;Random;Random;Yes;
unidad;48;Random;Random;Random;Yes;
dolor;48;Random;Random;Random;Yes;
urgencia;48;Random;Random;Random;Yes;
first;47;Random;Random;Random;Yes;
queda;47;Random;Random;Random;Yes;
criptomoneda;47;Random;Random;Random;Yes;
valencia;47;Random;Random;Random;Yes;
soy;47;Random;Random;Random;Yes;
tipo;47;Random;Random;Random;Yes;
bajo;47;Random;Random;Random;Yes;
misma;47;Random;Random;Random;Yes;
familiar;47;Random;Random;Random;Yes;
esperanza;47;Random;Random;Random;Yes;
response;47;Random;Random;Random;Yes;
sé;47;Random;Random;Random;Yes;
emergencia;47;Random;Random;Random;Yes;
proceso;47;Random;Random;Random;Yes;
tragedia;47;Random;Random;Random;Yes;
debemos;47;Random;Random;Random;Yes;
oea;47;Random;Random;Random;Yes;
21;46;Random;Random;Random;Yes;
ricardo;46;Random;Random;Random;Yes;
ciudadano;46;Random;Random;Random;Yes;
cambiar;46;Random;Random;Random;Yes;
negocio;46;Random;Random;Random;Yes;
llama;46;Random;Random;Random;Yes;
cristiancrespoj;46;Random;Random;Random;Yes;
inflación;46;Random;Random;Random;Yes;
necesito;46;Random;Random;Random;Yes;
busca;46;Random;Random;Random;Yes;
yosoyjustin;46;Random;Random;Random;Yes;
19;45;Random;Random;Random;Yes;
seguridad;45;Random;Random;Random;Yes;
conoce;45;Random;Random;Random;Yes;
china;45;Random;Random;Random;Yes;
lugar;45;Random;Random;Random;Yes;
florida;45;Random;Random;Random;Yes;
arma;45;Random;Random;Random;Yes;
publicar;45;Random;Random;Random;Yes;
empresa;45;Random;Random;Random;Yes;
visto;45;Random;Random;Random;Yes;
tema;45;Random;Random;Random;Yes;
guardia;45;Random;Random;Random;Yes;
jajajaja;45;Random;Random;Random;Yes;
golp;45;Random;Random;Random;Yes;
zulia;45;Random;Random;Random;Yes;
alcald;45;Random;Random;Random;Yes;
soyfdelrincon;45;Random;Random;Random;Yes;
culpa;45;Random;Random;Random;Yes;
premio;44;Random;Random;Random;Yes;
nivel;44;Random;Random;Random;Yes;
mamá;44;Random;Random;Random;Yes;
viene;44;Random;Random;Random;Yes;
haciendo;44;Random;Random;Random;Yes;
sueño;44;Random;Random;Random;Yes;
llegó;44;Random;Random;Random;Yes;
isla;44;Random;Random;Random;Yes;
maldito;44;Random;Random;Random;Yes;
pagar;44;Random;Random;Random;Yes;
deben;44;Random;Random;Random;Yes;
antonio;43;Random;Random;Random;Yes;
jescotet;43;Random;Random;Random;Yes;
friend;43;Random;Random;Random;Yes;
leopoldo;43;Random;Random;Random;Yes;
sistema;43;Random;Random;Random;Yes;
pizarro;43;Random;Random;Random;Yes;
ddhh;43;Random;Random;Random;Yes;
back;43;Random;Random;Random;Yes;
now;43;Random;Random;Random;Yes;
check;43;Random;Random;Random;Yes;
venezuelan;43;Random;Random;Random;Yes;
tien;43;Random;Random;Random;Yes;
través;43;Random;Random;Random;Yes;
muy;43;Random;Random;Random;Yes;
use;43;Random;Random;Random;Yes;
especie;43;Random;Random;Random;Yes;
alguna;43;Random;Random;Random;Yes;
criminal;43;Random;Random;Random;Yes;
please;43;Random;Random;Random;Yes;
hola;43;Random;Random;Random;Yes;
14;42;Random;Random;Random;Yes;
presid;42;Random;Random;Random;Yes;
nieto;42;Random;Random;Random;Yes;
carabobo;42;Random;Random;Random;Yes;
voz;42;Random;Random;Random;Yes;
minuto;42;Random;Random;Random;Yes;
diálogo;42;Random;Random;Random;Yes;
bella;42;Random;Random;Random;Yes;
state;42;Random;Random;Random;Yes;
tierra;42;Random;Random;Random;Yes;
nuestra;42;Random;Random;Random;Yes;
acto;42;Random;Random;Random;Yes;
efectivo;42;Random;Random;Random;Yes;
campaña;42;Random;Random;Random;Yes;
luchar;42;Random;Random;Random;Yes;
gusta;42;Random;Random;Random;Yes;
solicita;42;Random;Random;Random;Yes;
espero;42;Random;Random;Random;Yes;
represión;42;Random;Random;Random;Yes;
siguen;42;Random;Random;Random;Yes;
mes;42;Random;Random;Random;Yes;
dónde;42;Random;Random;Random;Yes;
hablar;42;Random;Random;Random;Yes;
00;41;Random;Random;Random;Yes;
santiago;41;Random;Random;Random;Yes;
sociedad;41;Random;Random;Random;Yes;
cc;41;Random;Random;Random;Yes;
pasado;41;Random;Random;Random;Yes;
perro;41;Random;Random;Random;Yes;
think;41;Random;Random;Random;Yes;
look;41;Random;Random;Random;Yes;
zona;41;Random;Random;Random;Yes;
ojo;41;Random;Random;Random;Yes;
plan;41;Random;Random;Random;Yes;
best;41;Random;Random;Random;Yes;
delincuente;41;Random;Random;Random;Yes;
per;41;Random;Random;Random;Yes;
ejemplo;41;Random;Random;Random;Yes;
niña;41;Random;Random;Random;Yes;
retweet;41;Random;Random;Random;Yes;
honor;41;Random;Random;Random;Yes;
grave;41;Random;Random;Random;Yes;
llega;41;Random;Random;Random;Yes;
report;41;Random;Random;Random;Yes;
supermercado;40;Random;Random;Random;Yes;
venden;40;Random;Random;Random;Yes;
habrá;40;Random;Random;Random;Yes;
mira;40;Random;Random;Random;Yes;
hermosa;40;Random;Random;Random;Yes;
guayana;40;Random;Random;Random;Yes;
10ene;40;Random;Random;Random;Yes;
more;40;Random;Random;Random;Yes;
otro;40;Random;Random;Random;Yes;
pena;40;Random;Random;Random;Yes;
american;40;Random;Random;Random;Yes;
pan;40;Random;Random;Random;Yes;
siendo;40;Random;Random;Random;Yes;
internet;40;Random;Random;Random;Yes;
clase;40;Random;Random;Random;Yes;
mentira;40;Random;Random;Random;Yes;
miranda;40;Random;Random;Random;Yes;
dejar;40;Random;Random;Random;Yes;
seguimos;40;Random;Random;Random;Yes;
ad;40;Random;Random;Random;Yes;
na;40;Random;Random;Random;Yes;
13;39;Random;Random;Random;Yes;
50;39;Random;Random;Random;Yes;
marco;39;Random;Random;Random;Yes;
somos;39;Random;Random;Random;Yes;
made;39;Random;Random;Random;Yes;
hizo;39;Random;Random;Random;Yes;
haga;39;Random;Random;Random;Yes;
luchando;39;Random;Random;Random;Yes;
funcionario;39;Random;Random;Random;Yes;
trata;39;Random;Random;Random;Yes;
dispon;39;Random;Random;Random;Yes;
ayudar;39;Random;Random;Random;Yes;
take;39;Random;Random;Random;Yes;
next;39;Random;Random;Random;Yes;
enkivzla;39;Random;Random;Random;Yes;
tamara;39;Random;Random;Random;Yes;
santa;39;Random;Random;Random;Yes;
prueba;39;Random;Random;Random;Yes;
pido;39;Random;Random;Random;Yes;
debería;39;Random;Random;Random;Yes;
amiga;39;Random;Random;Random;Yes;
cuanto;39;Random;Random;Random;Yes;
revolución;39;Random;Random;Random;Yes;
voluntadpopular;39;Random;Random;Random;Yes;
teamhdp;39;Random;Random;Random;Yes;
cuatro;39;Random;Random;Random;Yes;
air;39;Random;Random;Random;Yes;
fan;39;Random;Random;Random;Yes;
rafael;39;Random;Random;Random;Yes;
ley;39;Random;Random;Random;Yes;
estoy;39;Random;Random;Random;Yes;
