User,Link,Carlos,Dayana
Chaccal_ja,https://twitter.com/Chaccal_ja,Oposición,Oposición
Arianna_Corona,https://twitter.com/Arianna_Corona,Oposición,Oposición
loredasilva,https://twitter.com/loredasilva,Oposición,Oposición
Juanmicroguy,https://twitter.com/Juanmicroguy,Oposición,Oposición
ANNAMORAT,https://twitter.com/ANNAMORAT,Oposición,Oposición
UsecheUsechec,https://twitter.com/UsecheUsechec,Oposición,Oposición
osvamou,https://twitter.com/osvamou,Oposición,Oposición
correoderobert,https://twitter.com/correoderobert,Ninguno,Oposición
HANSELJCG,https://twitter.com/HANSELJCG,Oposición,Oposición
Calexander_R,https://twitter.com/Calexander_R,Oposición,Oposición
nelzimm53,https://twitter.com/nelzimm53,Oposición,Oposición
elpajavenezuela,https://twitter.com/elpajavenezuela,Oposición,Oposición
KhaGragirena,https://twitter.com/KhaGragirena,Oposición,Oposición
capotecarlos,https://twitter.com/capotecarlos,Oposición,Oposición
Marialecamero,https://twitter.com/Marialecamero,Oposición,Oposición
C_Mendez,https://twitter.com/C_Mendez,Oposición,Oposición
JoseMonkeySwag,https://twitter.com/JoseMonkeySwag,Ninguno,Ninguno
normamanchego,https://twitter.com/normamanchego,Oposición,Oposición
MachadoClement,https://twitter.com/MachadoClement,Oposición,Oposición
betbleu,https://twitter.com/betbleu,Oposición,Oposición
testoysiguiendo,https://twitter.com/testoysiguiendo,Oposición,Oposición
CourageousFaith,https://twitter.com/CourageousFaith,Ninguno,Ninguno
Cindygfs,https://twitter.com/Cindygfs,Oposición,Oposición
lapizazulmuela,https://twitter.com/lapizazulmuela,Oposición,Oposición
louretire,https://twitter.com/louretire,Ninguno,Ninguno
Ambmfitness,https://twitter.com/Ambmfitness,Oposición,Oposición
OscarDancourt,https://twitter.com/OscarDancourt,Ninguno,Oposición
Guerrea13,https://twitter.com/Guerrea13,Oposición,Oposición
IviLiveLab,https://twitter.com/IviLiveLab,Oposición,Oposición
Naples60,https://twitter.com/Naples60,Oposición,Oposición
mdiazd,https://twitter.com/mdiazd,Oposición,Oposición
mariangela85,https://twitter.com/mariangela85,Oposición,Oposición
yuko3776,https://twitter.com/yuko3776,Oposición,Oposición
OctavioTovar4,https://twitter.com/OctavioTovar4,Oposición,Oposición
festejoskley,https://twitter.com/festejoskley,Oposición,Oposición
eduardozzzgt,https://twitter.com/eduardozzzgt,Oposición,Oposición
JRvas85,https://twitter.com/JRvas85,Oposición,Oposición
ochoamariapaula,https://twitter.com/ochoamariapaula,Ninguno,Ninguno
Xilenia,https://twitter.com/Xilenia,Oposición,Oposición
Mundelias,https://twitter.com/Mundelias,Oposición,Oposición
RossieD3,https://twitter.com/RossieD3,Oposición,Oposición
origomez98,https://twitter.com/origomez98,Oposición,Oposición
lajojo9,https://twitter.com/lajojo9,Oposición,Oposición
berro86,https://twitter.com/berro86,Oposición,Oposición
Dayix1,https://twitter.com/Dayix1,Oposición,Oposición
EduarlyMorante,https://twitter.com/EduarlyMorante,Oposición,Oposición
marialvidalv,https://twitter.com/marialvidalv,Oposición,Oposición
stefy_barboza,https://twitter.com/stefy_barboza,Oposición,Oposición
GracePena,https://twitter.com/GracePena,Ninguno,Oposición
MisabeL709,https://twitter.com/MisabeL709,Ninguno,Ninguno
VeneQueenRorra,https://twitter.com/VeneQueenRorra,Oposición,Oposición
_ZuH_,https://twitter.com/_ZuH_,Oposición,Oposición
Conserv_I,https://twitter.com/Conserv_I,Ninguno,Ninguno
Cyncronia,https://twitter.com/Cyncronia,Ninguno,Ninguno
viviecuador,https://twitter.com/viviecuador,Oposición,Oposición
rudagonz,https://twitter.com/rudagonz,Oposición,Oposición
ClaudeLuca_,https://twitter.com/ClaudeLuca_,Oposición,Oposición
Mor_Urbe,https://twitter.com/Mor_Urbe,Oposición,Oposición
3mjohana276,https://twitter.com/3mjohana276,Oposición,Oposición
gabeweb,https://twitter.com/gabeweb,Ninguno,Oposición
SoniaTersigne,https://twitter.com/SoniaTersigne,Ninguno,Ninguno
faroinformativo,https://twitter.com/faroinformativo,Ninguno,Ninguno
josilysgutierre,https://twitter.com/josilysgutierre,Oposición,Oposición
JotaSoS,https://twitter.com/JotaSoS,Oposición,Ninguno
Gloria_Bravo,https://twitter.com/Gloria_Bravo,Oposición,Oposición
vicks_araujo,https://twitter.com/vicks_araujo,Oposición,Oposición
DaninCisneros,https://twitter.com/DaninCisneros,Oposición,Oposición
andresbarretog,https://twitter.com/andresbarretog,Ninguno,Ninguno
newevangelicals,https://twitter.com/newevangelicals,Ninguno,Ninguno
LinaresRosalba,https://twitter.com/LinaresRosalba,Oposición,Oposición
10nytp,https://twitter.com/10nytp,Oposición,Oposición
gaby47,https://twitter.com/gaby47,Oposición,Oposición
BelenMarrero,https://twitter.com/BelenMarrero,Oposición,Oposición
SandiInHtownTX,https://twitter.com/SandiInHtownTX,Ninguno,Oposición
RonaldoC12,https://twitter.com/RonaldoC12,Ninguno,Oposición
joicepharris,https://twitter.com/joicepharris,Oposición,Oposición
Sandra88111,https://twitter.com/Sandra88111,Oposición,Oposición
solovenezuela19,https://twitter.com/solovenezuela19,Oposición,Oposición
cexaryn,https://twitter.com/cexaryn,Ninguno,Ninguno
ZaneGoodell,https://twitter.com/ZaneGoodell,Ninguno,Oposición
barbaravielma,https://twitter.com/barbaravielma,Oposición,Oposición
Y01Y_MaR,https://twitter.com/Y01Y_MaR,Oposición,Oposición
ReinaldoZavrcLA,https://twitter.com/ReinaldoZavrcLA,Ninguno,Oposición
maxbrackett,https://twitter.com/maxbrackett,Ninguno,Ninguno
valepirela22,https://twitter.com/valepirela22,Ninguno,Oposición
npoler,https://twitter.com/npoler,Oposición,Oposición
patri_eldoral,https://twitter.com/patri_eldoral,Oposición,Oposición
pasarell,https://twitter.com/pasarell,Oposición,Oposición
xavier_torrens,https://twitter.com/xavier_torrens,Ninguno,Oposición
JAGA1980,https://twitter.com/JAGA1980,Oposición,Oposición
robotinaas,https://twitter.com/robotinaas,Oposición,Oposición
VerdadVenezuel4,https://twitter.com/VerdadVenezuel4,Oposición,Oposición
EveWeb,https://twitter.com/EveWeb,Oposición,Oposición
ViceVersaMagaz,https://twitter.com/ViceVersaMagaz,Oposición,Oposición
Lucia_626_,https://twitter.com/Lucia_626_,Oposición,Ninguno
Decepticon_01,https://twitter.com/Decepticon_01,Oposición,Oposición
k_rito1006,https://twitter.com/k_rito1006,Oposición,Oposición
FranW16,https://twitter.com/FranW16,Oposición,Oposición
ljfernandesm,https://twitter.com/ljfernandesm,Oposición,Oposición
FinolHugo,https://twitter.com/FinolHugo,Oposición,Oposición
Staticbird32,https://twitter.com/Staticbird32,Oposición,Oposición
andreslevanti,https://twitter.com/andreslevanti,Oposición,Oposición
ECalzadillaR,https://twitter.com/ECalzadillaR,Ninguno,Ninguno
BiankCorro,https://twitter.com/BiankCorro,Oposición,Oposición
Regalomaniadeco,https://twitter.com/Regalomaniadeco,Oposición,Oposición
corodelsur,https://twitter.com/corodelsur,Oposición,Oposición
pichirrona,https://twitter.com/pichirrona,Oposición,Oposición
Bee_4827,https://twitter.com/Bee_4827,Ninguno,Ninguno
VP_Medellin,https://twitter.com/VP_Medellin,Oposición,Oposición
JohanFreitesS,https://twitter.com/JohanFreitesS,Oposición,Oposición
alwaysconfusedx,https://twitter.com/alwaysconfusedx,Ninguno,Ninguno
nana150284,https://twitter.com/nana150284,Oposición,Oposición
aralenar,https://twitter.com/aralenar,Oposición,Oposición
JenifferAAA,https://twitter.com/JenifferAAA,Oposición,Oposición
ullmerbabe,https://twitter.com/ullmerbabe,Ninguno,Ninguno
saidamireles,https://twitter.com/saidamireles,Oposición,Oposición
YoixaY,https://twitter.com/YoixaY,Oposición,Oposición
daniel1nico,https://twitter.com/daniel1nico,Oposición,Oposición
GiginNarain,https://twitter.com/GiginNarain,Oposición,Oposición
Danielita2707,https://twitter.com/Danielita2707,Oposición,Oposición
Mouruapp,https://twitter.com/Mouruapp,Ninguno,Ninguno
NeuroPowerALima,https://twitter.com/NeuroPowerALima,Ninguno,Ninguno
kathy8808,https://twitter.com/kathy8808,Oposición,Oposición
luighyniasarahi,https://twitter.com/luighyniasarahi,Oposición,Oposición
mmjaramillo,https://twitter.com/mmjaramillo,Oposición,Oposición
JuMagalhaesBH,https://twitter.com/JuMagalhaesBH,Ninguno,Ninguno
Jesus_fiallo,https://twitter.com/Jesus_fiallo,Oposición,Oposición
barbiedrc,https://twitter.com/barbiedrc,Oposición,Oposición
maye_jere,https://twitter.com/maye_jere,Oposición,Oposición
dxnirod,https://twitter.com/dxnirod,Ninguno,Ninguno
Joh_Ei,https://twitter.com/Joh_Ei,Oposición,Oposición
ananebreda2004,https://twitter.com/ananebreda2004,Oposición,Oposición
carvalhojf09,https://twitter.com/carvalhojf09,Ninguno,Ninguno
PadresOrganiza2,https://twitter.com/PadresOrganiza2,Oposición,Oposición
ernesto_lopez_e,https://twitter.com/ernesto_lopez_e,Oposición,Oposición
pachipp,https://twitter.com/pachipp,Oposición,Oposición
Emiliocartea,https://twitter.com/Emiliocartea,Oposición,Oposición
Nerecita99,https://twitter.com/Nerecita99,Oposición,Oposición
Huevo_tv,https://twitter.com/Huevo_tv,Oposición,Oposición
mariacarrillo_1,https://twitter.com/mariacarrillo_1,Oposición,Oposición
seneidy,https://twitter.com/seneidy,Ninguno,Ninguno
Braccomax,https://twitter.com/Braccomax,Oposición,Oposición
Ao3Shadow7,https://twitter.com/Ao3Shadow7,Ninguno,Ninguno
RicardoJosueYT,https://twitter.com/RicardoJosueYT,Ninguno,Ninguno
KCardona11,https://twitter.com/KCardona11,Oposición,Oposición
mariale_dc,https://twitter.com/mariale_dc,Oposición,Oposición
Angelica_Garces,https://twitter.com/Angelica_Garces,Oposición,Oposición
dmillandesigns,https://twitter.com/dmillandesigns,Ninguno,Ninguno
deyapanzarino,https://twitter.com/deyapanzarino,Oposición,Oposición
PeregriVen,https://twitter.com/PeregriVen,Oposición,Oposición
CaMarenco73,https://twitter.com/CaMarenco73,Ninguno,Ninguno
mafeta,https://twitter.com/mafeta,Oposición,Oposición
giselespitia2,https://twitter.com/giselespitia2,Oposición,Oposición
MissQueensUnive,https://twitter.com/MissQueensUnive,Ninguno,Ninguno
Isaacmrg,https://twitter.com/Isaacmrg,Ninguno,Ninguno
greilyd,https://twitter.com/greilyd,Oposición,Oposición
mtesanchez,https://twitter.com/mtesanchez,Oposición,Oposición
viticogl,https://twitter.com/viticogl,Oposición,Oposición
yvifranco,https://twitter.com/yvifranco,Oposición,Oposición
ComoParaQue,https://twitter.com/ComoParaQue,Oposición,Oposición
malusore,https://twitter.com/malusore,Oposición,Oposición
tiaque,https://twitter.com/tiaque,Oposición,Oposición
yormancfc99,https://twitter.com/yormancfc99,Oposición,Oposición
YomarJ,https://twitter.com/YomarJ,Oposición,Oposición
jcgarcia16,https://twitter.com/jcgarcia16,Ninguno,Ninguno
MisterDaiola,https://twitter.com/MisterDaiola,Oposición,Oposición
aefboscan,https://twitter.com/aefboscan,Oposición,Oposición
DailiValladares,https://twitter.com/DailiValladares,Oposición,Oposición
loisi_adolfina,https://twitter.com/loisi_adolfina,Oposición,Oposición
MariadlaMarquez,https://twitter.com/MariadlaMarquez,Oposición,Oposición
AdrianaMonsalve,https://twitter.com/AdrianaMonsalve,Ninguno,Ninguno
shrr30,https://twitter.com/shrr30,Oposición,Oposición
isbania,https://twitter.com/isbania,Oposición,Oposición
AlejandroCP_,https://twitter.com/AlejandroCP_,Oposición,Oposición
cannabineando,https://twitter.com/cannabineando,Ninguno,Ninguno
vanefotografia,https://twitter.com/vanefotografia,Oposición,Oposición
victoriosa_28,https://twitter.com/victoriosa_28,Oposición,Oposición
HandelyslRangel,https://twitter.com/HandelyslRangel,Oposición,Oposición
msluzero,https://twitter.com/msluzero,Ninguno,Ninguno
HelianaTais,https://twitter.com/HelianaTais,Oposición,Oposición
bonifacia83,https://twitter.com/bonifacia83,Oposición,Oposición
RogerPalenciaS,https://twitter.com/RogerPalenciaS,Ninguno,Ninguno
xniallgirllovex,https://twitter.com/xniallgirllovex,Ninguno,Ninguno
cecihuesca,https://twitter.com/cecihuesca,Ninguno,Ninguno
ingridcca,https://twitter.com/ingridcca,Oposición,Oposición
Asiespozuelo,https://twitter.com/Asiespozuelo,Ninguno,Ninguno
losemarrp,https://twitter.com/losemarrp,Ninguno,Ninguno
marasalvatruch,https://twitter.com/marasalvatruch,Oposición,Oposición
JoseCuelloB,https://twitter.com/JoseCuelloB,Oposición,Oposición
glindaneva,https://twitter.com/glindaneva,Oposición,Oposición
yoly_2262,https://twitter.com/yoly_2262,Oposición,Oposición
FreyuriE,https://twitter.com/FreyuriE,Ninguno,Ninguno
nervismindiola,https://twitter.com/nervismindiola,Oposición,Oposición
DanniUsuriaga,https://twitter.com/DanniUsuriaga,Ninguno,Ninguno
WinterCosta,https://twitter.com/WinterCosta,Oposición,Oposición
TallerShum,https://twitter.com/TallerShum,Ninguno,Ninguno
Lord_Black_III,https://twitter.com/Lord_Black_III,Oposición,Oposición
Zehuzhidalgo,https://twitter.com/Zehuzhidalgo,Oposición,Oposición
Desi_Portillo,https://twitter.com/Desi_Portillo,Oposición,Oposición
JoseGarciaColin,https://twitter.com/JoseGarciaColin,Ninguno,Ninguno
OscarPeralesGtz,https://twitter.com/OscarPeralesGtz,Ninguno,Ninguno
aguilerazovj,https://twitter.com/aguilerazovj,Oposición,Oposición
monikarmona,https://twitter.com/monikarmona,Oposición,Oposición
eveliagauna,https://twitter.com/eveliagauna,Oposición,Oposición
DiegoAreiza,https://twitter.com/DiegoAreiza,Oposición,Oposición
AnaGabiiU,https://twitter.com/AnaGabiiU,Ninguno,Ninguno
Neryco,https://twitter.com/Neryco,Ninguno,Ninguno
JanetCedeno2,https://twitter.com/JanetCedeno2,Oposición,Oposición
LodigoY1,https://twitter.com/LodigoY1,Oposición,Oposición
perdocarlo1,https://twitter.com/perdocarlo1,Oposición,Oposición
SueHarmon10,https://twitter.com/SueHarmon10,Ninguno,Ninguno
MWNeuman,https://twitter.com/MWNeuman,Ninguno,Ninguno
orsalamanca,https://twitter.com/orsalamanca,Oposición,Oposición
Danielita_3,https://twitter.com/Danielita_3,Oposición,Oposición
doravill,https://twitter.com/doravill,Oposición,Oposición
SRVMEDELLIN,https://twitter.com/SRVMEDELLIN,Oposición,Oposición
josySuarez,https://twitter.com/josySuarez,Oposición,Oposición
ConnieFossi,https://twitter.com/ConnieFossi,Oposición,Oposición
JohnnyCedenoM,https://twitter.com/JohnnyCedenoM,Ninguno,Ninguno
vilmarbarbou,https://twitter.com/vilmarbarbou,Ninguno,Ninguno
JyFresh30,https://twitter.com/JyFresh30,Ninguno,Ninguno
Calavam,https://twitter.com/Calavam,Oposición,Oposición
MauricioUtrera,https://twitter.com/MauricioUtrera,Ninguno,Ninguno
carlosmigueli,https://twitter.com/carlosmigueli,Ninguno,Ninguno
MGildeMontes,https://twitter.com/MGildeMontes,Oposición,Oposición
askrasnia,https://twitter.com/askrasnia,Ninguno,Ninguno
lkamcol,https://twitter.com/lkamcol,Oposición,Oposición
cagatayhan1998,https://twitter.com/cagatayhan1998,Ninguno,Ninguno
oguevaras,https://twitter.com/oguevaras,Oposición,Oposición
emelisa_16,https://twitter.com/emelisa_16,Oposición,Oposición
Depalcas,https://twitter.com/Depalcas,Oposición,Oposición
penoso69,https://twitter.com/penoso69,Oposición,Oposición
RosaBustelo,https://twitter.com/RosaBustelo,Oposición,Oposición
cuchovivas,https://twitter.com/cuchovivas,Oposición,Oposición
sikiukeli,https://twitter.com/sikiukeli,Oposición,Oposición
AlfonzoDark,https://twitter.com/AlfonzoDark,Oposición,Oposición
anayessy25,https://twitter.com/anayessy25,Oposición,Oposición
Rabipelao3polar,https://twitter.com/Rabipelao3polar,Oposición,Oposición
janethberrettin,https://twitter.com/janethberrettin,Oposición,Oposición
MaQuiroz04,https://twitter.com/MaQuiroz04,Ninguno,Ninguno
manuelgil64,https://twitter.com/manuelgil64,Oposición,Oposición
lapagapeo,https://twitter.com/lapagapeo,Oposición,Oposición
ElGranEvento,https://twitter.com/ElGranEvento,Oposición,Oposición
nowaycer,https://twitter.com/nowaycer,Ninguno,Ninguno
jjmogollon,https://twitter.com/jjmogollon,Ninguno,Ninguno
YugheisySilva,https://twitter.com/YugheisySilva,Oposición,Oposición
Fieldsy,https://twitter.com/Fieldsy,Ninguno,Ninguno
aurome,https://twitter.com/aurome,Oposición,Oposición
yeivizcaino,https://twitter.com/yeivizcaino,Oposición,Oposición
MIVLondon,https://twitter.com/MIVLondon,Ninguno,Ninguno
caterinacoelho,https://twitter.com/caterinacoelho,Ninguno,Ninguno
TreyTrey418,https://twitter.com/TreyTrey418,Ninguno,Ninguno
karen_amb25,https://twitter.com/karen_amb25,Oposición,Oposición
zcmacc,https://twitter.com/zcmacc,Oposición,Oposición
VzlaResiste,https://twitter.com/VzlaResiste,Oposición,Oposición
MaurianyArjona,https://twitter.com/MaurianyArjona,Oposición,Oposición
MayAlejandra25,https://twitter.com/MayAlejandra25,Ninguno,Ninguno
carodominguez03,https://twitter.com/carodominguez03,Oposición,Oposición
rebe_brice,https://twitter.com/rebe_brice,Oposición,Oposición
GabrielaNS21,https://twitter.com/GabrielaNS21,Oposición,Oposición
hperozog,https://twitter.com/hperozog,Oposición,Oposición
Rumpels1928,https://twitter.com/Rumpels1928,Ninguno,Oposición
chikynay,https://twitter.com/chikynay,Oposición,Oposición
SebasMontes97,https://twitter.com/SebasMontes97,Ninguno,Ninguno
Venezolanosand1,https://twitter.com/Venezolanosand1,Oposición,Oposición
anatarsi,https://twitter.com/anatarsi,Ninguno,Ninguno
milyhernandezh,https://twitter.com/milyhernandezh,Oposición,Oposición
BEMBgod,https://twitter.com/BEMBgod,Oposición,Oposición
paopin73,https://twitter.com/paopin73,Ninguno,Ninguno
kiliannoda,https://twitter.com/kiliannoda,Ninguno,Ninguno
moezac,https://twitter.com/moezac,Ninguno,Oposición
PetricaRomero,https://twitter.com/PetricaRomero,Oposición,Oposición
DaniFrescolita,https://twitter.com/DaniFrescolita,Oposición,Oposición
DulceMRamosR,https://twitter.com/DulceMRamosR,Oposición,Oposición
TGTGTV2000,https://twitter.com/TGTGTV2000,Ninguno,Ninguno
GABRIEL1966,https://twitter.com/GABRIEL1966,Oposición,Oposición
5destinos,https://twitter.com/5destinos,Oposición,Ninguno
AnaFlorRaucci,https://twitter.com/AnaFlorRaucci,Oposición,Oposición
LeguizamonWA,https://twitter.com/LeguizamonWA,Oposición,Oposición
OracioVargas,https://twitter.com/OracioVargas,Oposición,Oposición
VIBRASMAG,https://twitter.com/VIBRASMAG,Ninguno,Ninguno
mariliesb,https://twitter.com/mariliesb,Ninguno,Ninguno
eliotescalante,https://twitter.com/eliotescalante,Oposición,Oposición
maryguanay,https://twitter.com/maryguanay,Oposición,Oposición
NeZtooor,https://twitter.com/NeZtooor,Oposición,Oposición
marianagamez,https://twitter.com/marianagamez,Oposición,Ninguno
salvemoschacao,https://twitter.com/salvemoschacao,Oposición,Oposición
merluync,https://twitter.com/merluync,Oposición,Oposición
AlfreNarvaez,https://twitter.com/AlfreNarvaez,Oposición,Oposición
Shiapty,https://twitter.com/Shiapty,Oposición,Oposición
betancur7,https://twitter.com/betancur7,Ninguno,Oposición
Elicamolu,https://twitter.com/Elicamolu,Oposición,Oposición
DMDelena,https://twitter.com/DMDelena,Oposición,Oposición
jrpereira007,https://twitter.com/jrpereira007,Oposición,Oposición
JuanchoReinoso,https://twitter.com/JuanchoReinoso,Oposición,Oposición
idclv,https://twitter.com/idclv,Ninguno,Ninguno
DonateVzla,https://twitter.com/DonateVzla,Oposición,Oposición
Aluqueron,https://twitter.com/Aluqueron,Oposición,Oposición
AlejZarate,https://twitter.com/AlejZarate,Oposición,Oposición
yuslypaul,https://twitter.com/yuslypaul,Oposición,Oposición
PuntoFijoGuia,https://twitter.com/PuntoFijoGuia,Ninguno,Ninguno
NathicaCH,https://twitter.com/NathicaCH,Oposición,Oposición
dianisvar,https://twitter.com/dianisvar,Oposición,Oposición
Wally_KitKat,https://twitter.com/Wally_KitKat,Oposición,Oposición
Cloblanco,https://twitter.com/Cloblanco,Oposición,Oposición
valenzuelausa,https://twitter.com/valenzuelausa,Ninguno,Ninguno
Rociohiguerar,https://twitter.com/Rociohiguerar,Ninguno,Ninguno
vzlaya,https://twitter.com/vzlaya,Oposición,Oposición
DUINCONSUELOC,https://twitter.com/DUINCONSUELOC,Oposición,Oposición
maha2900,https://twitter.com/maha2900,Ninguno,Ninguno
HossanaBrigitte,https://twitter.com/HossanaBrigitte,Ninguno,Oposición
sharonirigoyenl,https://twitter.com/sharonirigoyenl,Oposición,Oposición
josenietop26,https://twitter.com/josenietop26,Oposición,Oposición
IvanYaz,https://twitter.com/IvanYaz,Oposición,Oposición
SoyAlexaJimenez,https://twitter.com/SoyAlexaJimenez,Ninguno,Ninguno
tomi56,https://twitter.com/tomi56,Oposición,Oposición
TippingEnrique,https://twitter.com/TippingEnrique,Ninguno,Ninguno
miye715,https://twitter.com/miye715,Oposición,Oposición
wladimirlatoz,https://twitter.com/wladimirlatoz,Oposición,Oposición
EspeTua,https://twitter.com/EspeTua,Oposición,Oposición
yesse_duran,https://twitter.com/yesse_duran,Ninguno,Ninguno
monkeyniehaus,https://twitter.com/monkeyniehaus,Ninguno,Ninguno
FranciaMalave,https://twitter.com/FranciaMalave,Ninguno,Ninguno
Lorein_Patino,https://twitter.com/Lorein_Patino,Oposición,Oposición
rosselynram,https://twitter.com/rosselynram,Oposición,Oposición
ArgenisBelly,https://twitter.com/ArgenisBelly,Oposición,Oposición
Johanz_,https://twitter.com/Johanz_,Ninguno,Ninguno
halabis,https://twitter.com/halabis,Oposición,Oposición
liuma2000,https://twitter.com/liuma2000,Oposición,Oposición
Paomotion,https://twitter.com/Paomotion,Oposición,Oposición
NestorTovar32,https://twitter.com/NestorTovar32,Oposición,Oposición
ArrobaJoseDiaz,https://twitter.com/ArrobaJoseDiaz,Oposición,Oposición
cryptho2000,https://twitter.com/cryptho2000,Ninguno,Ninguno
maferzam3,https://twitter.com/maferzam3,Oposición,Oposición
JsemAngie,https://twitter.com/JsemAngie,Oposición,Oposición
franktastico,https://twitter.com/franktastico,Oposición,Oposición
kimadr14,https://twitter.com/kimadr14,Oposición,Oposición
mirovasqueza,https://twitter.com/mirovasqueza,Oposición,Oposición
jihanc,https://twitter.com/jihanc,Oposición,Oposición
AtzukoMasudome,https://twitter.com/AtzukoMasudome,Oposición,Oposición
Rockteam88,https://twitter.com/Rockteam88,Oposición,Oposición
LeticGonz,https://twitter.com/LeticGonz,Oposición,Oposición
Ana_CeciliaRM,https://twitter.com/Ana_CeciliaRM,Oposición,Oposición
luzmalvarez,https://twitter.com/luzmalvarez,Oposición,Oposición
fenao,https://twitter.com/fenao,Oposición,Oposición
JoseLaplace,https://twitter.com/JoseLaplace,Ninguno,Ninguno
johapineapple,https://twitter.com/johapineapple,Oposición,Oposición
Anaconda009,https://twitter.com/Anaconda009,Oposición,Oposición
KarinaVilchez,https://twitter.com/KarinaVilchez,Oposición,Oposición
PastoritaTovar,https://twitter.com/PastoritaTovar,Oposición,Oposición
danielhz1983,https://twitter.com/danielhz1983,Ninguno,Ninguno
chamotuitero,https://twitter.com/chamotuitero,Oposición,Oposición
gmendible,https://twitter.com/gmendible,Oposición,Oposición
Elare38,https://twitter.com/Elare38,Ninguno,Ninguno
carosle,https://twitter.com/carosle,Oposición,Oposición
436francisco,https://twitter.com/436francisco,Ninguno,Ninguno
admartinezjr,https://twitter.com/admartinezjr,Ninguno,Ninguno
einnaul,https://twitter.com/einnaul,Ninguno,Ninguno
jdecaires,https://twitter.com/jdecaires,Oposición,Oposición
drangelm86,https://twitter.com/drangelm86,Oposición,Oposición
UnoLibertad,https://twitter.com/UnoLibertad,Oposición,Oposición
MirandinaRajada,https://twitter.com/MirandinaRajada,Oposición,Oposición
militzaquizena,https://twitter.com/militzaquizena,Oposición,Oposición
joseferrrer,https://twitter.com/joseferrrer,Oposición,Oposición
nicolaspereira,https://twitter.com/nicolaspereira,Ninguno,Ninguno
EDUCADORAV,https://twitter.com/EDUCADORAV,Oposición,Oposición
dalianasp,https://twitter.com/dalianasp,Oposición,Oposición
bmgalindocrucet,https://twitter.com/bmgalindocrucet,Ninguno,Ninguno
magdazulim,https://twitter.com/magdazulim,Oposición,Oposición
chichocotu,https://twitter.com/chichocotu,Oposición,Oposición
YelimarB7,https://twitter.com/YelimarB7,Oposición,Oposición
maydul1,https://twitter.com/maydul1,Oposición,Oposición
claritasofia28,https://twitter.com/claritasofia28,Ninguno,Ninguno
jeal2010,https://twitter.com/jeal2010,Ninguno,Ninguno
gcorolg,https://twitter.com/gcorolg,Oposición,Oposición
MarcosVPI,https://twitter.com/MarcosVPI,Oposición,Oposición
israel8542,https://twitter.com/israel8542,Oposición,Oposición
h_machin,https://twitter.com/h_machin,Oposición,Oposición
