User,Link,Clasificador1,Clasificador2,Clasificador3
louretire,https://twitter.com/louretire,Ninguno,Ninguno,Ninguno
Ambmfitness,https://twitter.com/Ambmfitness,Oposición,Oposición,Oposición
OscarDancourt,https://twitter.com/OscarDancourt,Ninguno,Oposición,Ninguno
Guerrea13,https://twitter.com/Guerrea13,Oposición,Oposición,Oposición
IviLiveLab,https://twitter.com/IviLiveLab,Oposición,Oposición,Oposición
Naples60,https://twitter.com/Naples60,Oposición,Oposición,Oposición
mdiazd,https://twitter.com/mdiazd,Oposición,Oposición,Oposición
mariangela85,https://twitter.com/mariangela85,Oposición,Oposición,Oposición
yuko3776,https://twitter.com/yuko3776,Oposición,Oposición,Oposición
OctavioTovar4,https://twitter.com/OctavioTovar4,Oposición,Oposición,Oposición
festejoskley,https://twitter.com/festejoskley,Oposición,Oposición,Oposición
eduardozzzgt,https://twitter.com/eduardozzzgt,Oposición,Oposición,Oposición
JRvas85,https://twitter.com/JRvas85,Oposición,Oposición,Oposición
ochoamariapaula,https://twitter.com/ochoamariapaula,Ninguno,Ninguno,Ninguno
Xilenia,https://twitter.com/Xilenia,Oposición,Oposición,Oposición
Mundelias,https://twitter.com/Mundelias,Oposición,Oposición,Oposición
RossieD3,https://twitter.com/RossieD3,Oposición,Oposición,Oposición
origomez98,https://twitter.com/origomez98,Oposición,Oposición,Oposición
lajojo9,https://twitter.com/lajojo9,Oposición,Oposición,Oposición
berro86,https://twitter.com/berro86,Oposición,Oposición,Oposición
Dayix1,https://twitter.com/Dayix1,Oposición,Oposición,Oposición
EduarlyMorante,https://twitter.com/EduarlyMorante,Oposición,Oposición,Oposición
marialvidalv,https://twitter.com/marialvidalv,Oposición,Oposición,Oposición
stefy_barboza,https://twitter.com/stefy_barboza,Oposición,Oposición,Oposición
GracePena,https://twitter.com/GracePena,Ninguno,Oposición,Ninguno
MisabeL709,https://twitter.com/MisabeL709,Ninguno,Ninguno,Ninguno
VeneQueenRorra,https://twitter.com/VeneQueenRorra,Oposición,Oposición,Oposición
_ZuH_,https://twitter.com/_ZuH_,Oposición,Oposición,Oposición
Conserv_I,https://twitter.com/Conserv_I,Ninguno,Ninguno,Ninguno
Cyncronia,https://twitter.com/Cyncronia,Ninguno,Ninguno,Ninguno
viviecuador,https://twitter.com/viviecuador,Oposición,Oposición,Oposición
rudagonz,https://twitter.com/rudagonz,Oposición,Oposición,Oposición
ClaudeLuca_,https://twitter.com/ClaudeLuca_,Oposición,Oposición,Oposición
Mor_Urbe,https://twitter.com/Mor_Urbe,Oposición,Oposición,Oposición
3mjohana276,https://twitter.com/3mjohana276,Oposición,Oposición,Oposición
gabeweb,https://twitter.com/gabeweb,Ninguno,Oposición,Ninguno
SoniaTersigne,https://twitter.com/SoniaTersigne,Ninguno,Ninguno,Ninguno
faroinformativo,https://twitter.com/faroinformativo,Ninguno,Ninguno,Ninguno
josilysgutierre,https://twitter.com/josilysgutierre,Oposición,Oposición,Oposición
JotaSoS,https://twitter.com/JotaSoS,Oposición,Ninguno,Oposición
Gloria_Bravo,https://twitter.com/Gloria_Bravo,Oposición,Oposición,Oposición
vicks_araujo,https://twitter.com/vicks_araujo,Oposición,Oposición,Oposición
DaninCisneros,https://twitter.com/DaninCisneros,Oposición,Oposición,Oposición
andresbarretog,https://twitter.com/andresbarretog,Ninguno,Ninguno,Ninguno
newevangelicals,https://twitter.com/newevangelicals,Ninguno,Ninguno,Ninguno
LinaresRosalba,https://twitter.com/LinaresRosalba,Oposición,Oposición,Oposición
10nytp,https://twitter.com/10nytp,Oposición,Oposición,Oposición
gaby47,https://twitter.com/gaby47,Oposición,Oposición,Oposición
BelenMarrero,https://twitter.com/BelenMarrero,Oposición,Oposición,Oposición
SandiInHtownTX,https://twitter.com/SandiInHtownTX,Ninguno,Oposición,Ninguno
RonaldoC12,https://twitter.com/RonaldoC12,Ninguno,Oposición,Ninguno
joicepharris,https://twitter.com/joicepharris,Oposición,Oposición,Oposición
Sandra88111,https://twitter.com/Sandra88111,Oposición,Oposición,Oposición
solovenezuela19,https://twitter.com/solovenezuela19,Oposición,Oposición,Oposición
cexaryn,https://twitter.com/cexaryn,Ninguno,Ninguno,Ninguno
ZaneGoodell,https://twitter.com/ZaneGoodell,Ninguno,Oposición,Ninguno
barbaravielma,https://twitter.com/barbaravielma,Oposición,Oposición,Oposición
Y01Y_MaR,https://twitter.com/Y01Y_MaR,Oposición,Oposición,Oposición
ReinaldoZavrcLA,https://twitter.com/ReinaldoZavrcLA,Ninguno,Oposición,Ninguno
maxbrackett,https://twitter.com/maxbrackett,Ninguno,Ninguno,Ninguno
valepirela22,https://twitter.com/valepirela22,Ninguno,Oposición,Ninguno
npoler,https://twitter.com/npoler,Oposición,Oposición,Oposición
patri_eldoral,https://twitter.com/patri_eldoral,Oposición,Oposición,Oposición
pasarell,https://twitter.com/pasarell,Oposición,Oposición,Oposición
xavier_torrens,https://twitter.com/xavier_torrens,Ninguno,Oposición,Ninguno
JAGA1980,https://twitter.com/JAGA1980,Oposición,Oposición,Oposición
robotinaas,https://twitter.com/robotinaas,Oposición,Oposición,Oposición
VerdadVenezuel4,https://twitter.com/VerdadVenezuel4,Oposición,Oposición,Oposición
EveWeb,https://twitter.com/EveWeb,Oposición,Oposición,Oposición
ViceVersaMagaz,https://twitter.com/ViceVersaMagaz,Oposición,Oposición,Oposición
Lucia_626_,https://twitter.com/Lucia_626_,Oposición,Ninguno,Oposición
Decepticon_01,https://twitter.com/Decepticon_01,Oposición,Oposición,Oposición
k_rito1006,https://twitter.com/k_rito1006,Oposición,Oposición,Oposición
FranW16,https://twitter.com/FranW16,Oposición,Oposición,Oposición
ljfernandesm,https://twitter.com/ljfernandesm,Oposición,Oposición,Oposición
FinolHugo,https://twitter.com/FinolHugo,Oposición,Oposición,Oposición
Staticbird32,https://twitter.com/Staticbird32,Oposición,Oposición,Oposición
andreslevanti,https://twitter.com/andreslevanti,Oposición,Oposición,Oposición
ECalzadillaR,https://twitter.com/ECalzadillaR,Ninguno,Ninguno,Ninguno
BiankCorro,https://twitter.com/BiankCorro,Oposición,Oposición,Oposición
Regalomaniadeco,https://twitter.com/Regalomaniadeco,Oposición,Oposición,Oposición
corodelsur,https://twitter.com/corodelsur,Oposición,Oposición,Oposición
pichirrona,https://twitter.com/pichirrona,Oposición,Oposición,Oposición
Bee_4827,https://twitter.com/Bee_4827,Ninguno,Ninguno,Ninguno
VP_Medellin,https://twitter.com/VP_Medellin,Oposición,Oposición,Oposición
JohanFreitesS,https://twitter.com/JohanFreitesS,Oposición,Oposición,Oposición
alwaysconfusedx,https://twitter.com/alwaysconfusedx,Ninguno,Ninguno,Ninguno
nana150284,https://twitter.com/nana150284,Oposición,Oposición,Oposición
aralenar,https://twitter.com/aralenar,Oposición,Oposición,Oposición
JenifferAAA,https://twitter.com/JenifferAAA,Oposición,Oposición,Oposición
ullmerbabe,https://twitter.com/ullmerbabe,Ninguno,Ninguno,Ninguno
saidamireles,https://twitter.com/saidamireles,Oposición,Oposición,Oposición
YoixaY,https://twitter.com/YoixaY,Oposición,Oposición,Oposición
daniel1nico,https://twitter.com/daniel1nico,Oposición,Oposición,Oposición
GiginNarain,https://twitter.com/GiginNarain,Oposición,Oposición,Oposición
Danielita2707,https://twitter.com/Danielita2707,Oposición,Oposición,Oposición
Mouruapp,https://twitter.com/Mouruapp,Ninguno,Ninguno,Ninguno
NeuroPowerALima,https://twitter.com/NeuroPowerALima,Ninguno,Ninguno,Ninguno
kathy8808,https://twitter.com/kathy8808,Oposición,Oposición,Oposición
luighyniasarahi,https://twitter.com/luighyniasarahi,Oposición,Oposición,Oposición
mmjaramillo,https://twitter.com/mmjaramillo,Oposición,Oposición,Oposición
JuMagalhaesBH,https://twitter.com/JuMagalhaesBH,Ninguno,Ninguno,Ninguno
Jesus_fiallo,https://twitter.com/Jesus_fiallo,Oposición,Oposición,Oposición
barbiedrc,https://twitter.com/barbiedrc,Oposición,Oposición,Oposición
maye_jere,https://twitter.com/maye_jere,Oposición,Oposición,Oposición
dxnirod,https://twitter.com/dxnirod,Ninguno,Ninguno,Ninguno
Joh_Ei,https://twitter.com/Joh_Ei,Oposición,Oposición,Oposición
ananebreda2004,https://twitter.com/ananebreda2004,Oposición,Oposición,Oposición
carvalhojf09,https://twitter.com/carvalhojf09,Ninguno,Ninguno,Ninguno
PadresOrganiza2,https://twitter.com/PadresOrganiza2,Oposición,Oposición,Oposición
ernesto_lopez_e,https://twitter.com/ernesto_lopez_e,Oposición,Oposición,Oposición
pachipp,https://twitter.com/pachipp,Oposición,Oposición,Oposición
Emiliocartea,https://twitter.com/Emiliocartea,Oposición,Oposición,Oposición
Nerecita99,https://twitter.com/Nerecita99,Oposición,Oposición,Oposición
Huevo_tv,https://twitter.com/Huevo_tv,Oposición,Oposición,Oposición
mariacarrillo_1,https://twitter.com/mariacarrillo_1,Oposición,Oposición,Oposición
seneidy,https://twitter.com/seneidy,Ninguno,Ninguno,Ninguno
Braccomax,https://twitter.com/Braccomax,Oposición,Oposición,Oposición
Ao3Shadow7,https://twitter.com/Ao3Shadow7,Ninguno,Oposición,Ninguno
RicardoJosueYT,https://twitter.com/RicardoJosueYT,Ninguno,Ninguno,Ninguno
KCardona11,https://twitter.com/KCardona11,Oposición,Oposición,Oposición
mariale_dc,https://twitter.com/mariale_dc,Oposición,Oposición,Oposición
Angelica_Garces,https://twitter.com/Angelica_Garces,Oposición,Oposición,Oposición
dmillandesigns,https://twitter.com/dmillandesigns,Ninguno,Ninguno,Ninguno
deyapanzarino,https://twitter.com/deyapanzarino,Oposición,Oposición,Oposición
PeregriVen,https://twitter.com/PeregriVen,Oposición,Oposición,Oposición
CaMarenco73,https://twitter.com/CaMarenco73,Ninguno,Ninguno,Ninguno
mafeta,https://twitter.com/mafeta,Oposición,Oposición,Oposición
giselespitia2,https://twitter.com/giselespitia2,Oposición,Oposición,Oposición
MissQueensUnive,https://twitter.com/MissQueensUnive,Ninguno,Oposición,Ninguno
Isaacmrg,https://twitter.com/Isaacmrg,Ninguno,Ninguno,Ninguno
greilyd,https://twitter.com/greilyd,Oposición,Oposición,Oposición
mtesanchez,https://twitter.com/mtesanchez,Oposición,Oposición,Oposición
viticogl,https://twitter.com/viticogl,Oposición,Oposición,Oposición
yvifranco,https://twitter.com/yvifranco,Oposición,Oposición,Oposición
ComoParaQue,https://twitter.com/ComoParaQue,Oposición,Oposición,Oposición
malusore,https://twitter.com/malusore,Oposición,Oposición,Oposición
tiaque,https://twitter.com/tiaque,Oposición,Oposición,Oposición
yormancfc99,https://twitter.com/yormancfc99,Oposición,Oposición,Oposición
YomarJ,https://twitter.com/YomarJ,Oposición,Oposición,Oposición
jcgarcia16,https://twitter.com/jcgarcia16,Ninguno,Ninguno,Ninguno
MisterDaiola,https://twitter.com/MisterDaiola,Oposición,Oposición,Oposición
aefboscan,https://twitter.com/aefboscan,Oposición,Oposición,Oposición
DailiValladares,https://twitter.com/DailiValladares,Oposición,Oposición,Oposición
loisi_adolfina,https://twitter.com/loisi_adolfina,Oposición,Oposición,Oposición
MariadlaMarquez,https://twitter.com/MariadlaMarquez,Oposición,Oposición,Oposición
AdrianaMonsalve,https://twitter.com/AdrianaMonsalve,Ninguno,Oposición,Ninguno
shrr30,https://twitter.com/shrr30,Oposición,Oposición,Oposición
isbania,https://twitter.com/isbania,Oposición,Oposición,Oposición
AlejandroCP_,https://twitter.com/AlejandroCP_,Oposición,Oposición,Oposición
cannabineando,https://twitter.com/cannabineando,Ninguno,Ninguno,Ninguno
vanefotografia,https://twitter.com/vanefotografia,Oposición,Oposición,Oposición
victoriosa_28,https://twitter.com/victoriosa_28,Oposición,Oposición,Oposición
HandelyslRangel,https://twitter.com/HandelyslRangel,Oposición,Oposición,Oposición
msluzero,https://twitter.com/msluzero,Ninguno,Ninguno,Ninguno
HelianaTais,https://twitter.com/HelianaTais,Oposición,Oposición,Oposición
bonifacia83,https://twitter.com/bonifacia83,Oposición,Oposición,Oposición
RogerPalenciaS,https://twitter.com/RogerPalenciaS,Ninguno,Ninguno,Ninguno
xniallgirllovex,https://twitter.com/xniallgirllovex,Ninguno,Ninguno,Ninguno
cecihuesca,https://twitter.com/cecihuesca,Ninguno,Ninguno,Ninguno
ingridcca,https://twitter.com/ingridcca,Oposición,Oposición,Oposición
Asiespozuelo,https://twitter.com/Asiespozuelo,Ninguno,Ninguno,Ninguno
losemarrp,https://twitter.com/losemarrp,Ninguno,Ninguno,Ninguno
marasalvatruch,https://twitter.com/marasalvatruch,Oposición,Oposición,Oposición
JoseCuelloB,https://twitter.com/JoseCuelloB,Oposición,Oposición,Oposición
glindaneva,https://twitter.com/glindaneva,Oposición,Oposición,Oposición
yoly_2262,https://twitter.com/yoly_2262,Oposición,Oposición,Oposición
FreyuriE,https://twitter.com/FreyuriE,Ninguno,Ninguno,Ninguno
nervismindiola,https://twitter.com/nervismindiola,Oposición,Oposición,Oposición
DanniUsuriaga,https://twitter.com/DanniUsuriaga,Ninguno,Ninguno,Ninguno
WinterCosta,https://twitter.com/WinterCosta,Oposición,Oposición,Oposición
TallerShum,https://twitter.com/TallerShum,Ninguno,Ninguno,Ninguno
Lord_Black_III,https://twitter.com/Lord_Black_III,Oposición,Oposición,Oposición
Zehuzhidalgo,https://twitter.com/Zehuzhidalgo,Oposición,Oposición,Oposición
Desi_Portillo,https://twitter.com/Desi_Portillo,Oposición,Oposición,Oposición
JoseGarciaColin,https://twitter.com/JoseGarciaColin,Ninguno,Ninguno,Ninguno
OscarPeralesGtz,https://twitter.com/OscarPeralesGtz,Ninguno,Ninguno,Ninguno
aguilerazovj,https://twitter.com/aguilerazovj,Oposición,Oposición,Oposición
monikarmona,https://twitter.com/monikarmona,Oposición,Oposición,Oposición
eveliagauna,https://twitter.com/eveliagauna,Oposición,Oposición,Oposición
DiegoAreiza,https://twitter.com/DiegoAreiza,Oposición,Oposición,Oposición
AnaGabiiU,https://twitter.com/AnaGabiiU,Ninguno,Ninguno,Ninguno
Neryco,https://twitter.com/Neryco,Ninguno,Ninguno,Ninguno
JanetCedeno2,https://twitter.com/JanetCedeno2,Oposición,Oposición,Oposición
LodigoY1,https://twitter.com/LodigoY1,Oposición,Oposición,Oposición
perdocarlo1,https://twitter.com/perdocarlo1,Oposición,Oposición,Oposición
SueHarmon10,https://twitter.com/SueHarmon10,Ninguno,Ninguno,Ninguno
MWNeuman,https://twitter.com/MWNeuman,Ninguno,Ninguno,Ninguno
orsalamanca,https://twitter.com/orsalamanca,Oposición,Oposición,Oposición
Danielita_3,https://twitter.com/Danielita_3,Oposición,Oposición,Oposición
doravill,https://twitter.com/doravill,Oposición,Oposición,Oposición
SRVMEDELLIN,https://twitter.com/SRVMEDELLIN,Oposición,Oposición,Oposición
josySuarez,https://twitter.com/josySuarez,Oposición,Oposición,Oposición
ConnieFossi,https://twitter.com/ConnieFossi,Oposición,Oposición,Oposición
JohnnyCedenoM,https://twitter.com/JohnnyCedenoM,Ninguno,Ninguno,Ninguno
vilmarbarbou,https://twitter.com/vilmarbarbou,Ninguno,Ninguno,Ninguno
JyFresh30,https://twitter.com/JyFresh30,Ninguno,Ninguno,Ninguno
Calavam,https://twitter.com/Calavam,Oposición,Oposición,Oposición
MauricioUtrera,https://twitter.com/MauricioUtrera,Ninguno,Ninguno,Ninguno
carlosmigueli,https://twitter.com/carlosmigueli,Ninguno,Ninguno,Ninguno
MGildeMontes,https://twitter.com/MGildeMontes,Oposición,Oposición,Oposición
askrasnia,https://twitter.com/askrasnia,Ninguno,Ninguno,Ninguno
lkamcol,https://twitter.com/lkamcol,Oposición,Oposición,Oposición
cagatayhan1998,https://twitter.com/cagatayhan1998,Ninguno,Ninguno,Ninguno
oguevaras,https://twitter.com/oguevaras,Oposición,Oposición,Oposición
emelisa_16,https://twitter.com/emelisa_16,Oposición,Oposición,Oposición
Depalcas,https://twitter.com/Depalcas,Oposición,Oposición,Oposición
penoso69,https://twitter.com/penoso69,Oposición,Oposición,Oposición
RosaBustelo,https://twitter.com/RosaBustelo,Oposición,Oposición,Oposición
cuchovivas,https://twitter.com/cuchovivas,Oposición,Oposición,Oposición
sikiukeli,https://twitter.com/sikiukeli,Oposición,Oposición,Oposición
AlfonzoDark,https://twitter.com/AlfonzoDark,Oposición,Oposición,Oposición
anayessy25,https://twitter.com/anayessy25,Oposición,Oposición,Oposición
Rabipelao3polar,https://twitter.com/Rabipelao3polar,Oposición,Oposición,Oposición
janethberrettin,https://twitter.com/janethberrettin,Oposición,Oposición,Oposición
MaQuiroz04,https://twitter.com/MaQuiroz04,Ninguno,Ninguno,Ninguno
manuelgil64,https://twitter.com/manuelgil64,Oposición,Oposición,Oposición
lapagapeo,https://twitter.com/lapagapeo,Oposición,Oposición,Oposición
ElGranEvento,https://twitter.com/ElGranEvento,Oposición,Oposición,Oposición
nowaycer,https://twitter.com/nowaycer,Ninguno,Ninguno,Ninguno
jjmogollon,https://twitter.com/jjmogollon,Ninguno,Ninguno,Ninguno
YugheisySilva,https://twitter.com/YugheisySilva,Oposición,Oposición,Oposición
Fieldsy,https://twitter.com/Fieldsy,Ninguno,Ninguno,Ninguno
aurome,https://twitter.com/aurome,Oposición,Oposición,Oposición
yeivizcaino,https://twitter.com/yeivizcaino,Oposición,Oposición,Oposición
MIVLondon,https://twitter.com/MIVLondon,Ninguno,Ninguno,Ninguno
caterinacoelho,https://twitter.com/caterinacoelho,Ninguno,Ninguno,Ninguno
TreyTrey418,https://twitter.com/TreyTrey418,Ninguno,Ninguno,Ninguno
karen_amb25,https://twitter.com/karen_amb25,Oposición,Oposición,Oposición
zcmacc,https://twitter.com/zcmacc,Oposición,Oposición,Oposición
VzlaResiste,https://twitter.com/VzlaResiste,Oposición,Oposición,Oposición
MaurianyArjona,https://twitter.com/MaurianyArjona,Oposición,Oposición,Oposición
MayAlejandra25,https://twitter.com/MayAlejandra25,Ninguno,Oposición,Ninguno
carodominguez03,https://twitter.com/carodominguez03,Oposición,Oposición,Oposición
rebe_brice,https://twitter.com/rebe_brice,Oposición,Oposición,Oposición
GabrielaNS21,https://twitter.com/GabrielaNS21,Oposición,Oposición,Oposición
hperozog,https://twitter.com/hperozog,Oposición,Oposición,Oposición
Rumpels1928,https://twitter.com/Rumpels1928,Ninguno,Oposición,Ninguno
chikynay,https://twitter.com/chikynay,Oposición,Oposición,Oposición
SebasMontes97,https://twitter.com/SebasMontes97,Ninguno,Ninguno,Ninguno
Venezolanosand1,https://twitter.com/Venezolanosand1,Oposición,Oposición,Oposición
anatarsi,https://twitter.com/anatarsi,Ninguno,Ninguno,Ninguno
milyhernandezh,https://twitter.com/milyhernandezh,Oposición,Oposición,Oposición
BEMBgod,https://twitter.com/BEMBgod,Oposición,Oposición,Oposición
paopin73,https://twitter.com/paopin73,Ninguno,Oposición,Ninguno
kiliannoda,https://twitter.com/kiliannoda,Ninguno,Ninguno,Ninguno
moezac,https://twitter.com/moezac,Ninguno,Oposición,Ninguno
PetricaRomero,https://twitter.com/PetricaRomero,Oposición,Oposición,Oposición
DaniFrescolita,https://twitter.com/DaniFrescolita,Oposición,Oposición,Oposición
DulceMRamosR,https://twitter.com/DulceMRamosR,Oposición,Oposición,Oposición
TGTGTV2000,https://twitter.com/TGTGTV2000,Ninguno,Ninguno,Ninguno
GABRIEL1966,https://twitter.com/GABRIEL1966,Oposición,Oposición,Oposición
5destinos,https://twitter.com/5destinos,Oposición,Ninguno,Ninguno
AnaFlorRaucci,https://twitter.com/AnaFlorRaucci,Oposición,Oposición,Oposición
LeguizamonWA,https://twitter.com/LeguizamonWA,Oposición,Oposición,Oposición
OracioVargas,https://twitter.com/OracioVargas,Oposición,Oposición,Oposición
VIBRASMAG,https://twitter.com/VIBRASMAG,Ninguno,Ninguno,Ninguno
mariliesb,https://twitter.com/mariliesb,Ninguno,Ninguno,Ninguno
eliotescalante,https://twitter.com/eliotescalante,Oposición,Oposición,Oposición
maryguanay,https://twitter.com/maryguanay,Oposición,Oposición,Oposición
NeZtooor,https://twitter.com/NeZtooor,Oposición,Oposición,Oposición
marianagamez,https://twitter.com/marianagamez,Oposición,Ninguno,Ninguno
salvemoschacao,https://twitter.com/salvemoschacao,Oposición,Oposición,Oposición
merluync,https://twitter.com/merluync,Oposición,Oposición,Oposición
AlfreNarvaez,https://twitter.com/AlfreNarvaez,Oposición,Oposición,Oposición
Shiapty,https://twitter.com/Shiapty,Oposición,Oposición,Oposición
betancur7,https://twitter.com/betancur7,Ninguno,Oposición,Ninguno
Elicamolu,https://twitter.com/Elicamolu,Oposición,Oposición,Oposición
DMDelena,https://twitter.com/DMDelena,Oposición,Oposición,Oposición
jrpereira007,https://twitter.com/jrpereira007,Oposición,Oposición,Oposición
JuanchoReinoso,https://twitter.com/JuanchoReinoso,Oposición,Oposición,Oposición
idclv,https://twitter.com/idclv,Ninguno,Ninguno,Ninguno
DonateVzla,https://twitter.com/DonateVzla,Oposición,Oposición,Oposición
Aluqueron,https://twitter.com/Aluqueron,Oposición,Oposición,Oposición
AlejZarate,https://twitter.com/AlejZarate,Oposición,Oposición,Oposición
yuslypaul,https://twitter.com/yuslypaul,Oposición,Oposición,Oposición
PuntoFijoGuia,https://twitter.com/PuntoFijoGuia,Ninguno,Ninguno,Ninguno
NathicaCH,https://twitter.com/NathicaCH,Oposición,Oposición,Oposición
dianisvar,https://twitter.com/dianisvar,Oposición,Oposición,Oposición
Wally_KitKat,https://twitter.com/Wally_KitKat,Oposición,Oposición,Oposición
Cloblanco,https://twitter.com/Cloblanco,Oposición,Oposición,Oposición
valenzuelausa,https://twitter.com/valenzuelausa,Ninguno,Ninguno,Ninguno
Rociohiguerar,https://twitter.com/Rociohiguerar,Ninguno,Ninguno,Ninguno
vzlaya,https://twitter.com/vzlaya,Oposición,Oposición,Oposición
DUINCONSUELOC,https://twitter.com/DUINCONSUELOC,Oposición,Oposición,Oposición
maha2900,https://twitter.com/maha2900,Ninguno,Ninguno,Ninguno
HossanaBrigitte,https://twitter.com/HossanaBrigitte,Ninguno,Oposición,Ninguno
sharonirigoyenl,https://twitter.com/sharonirigoyenl,Oposición,Oposición,Oposición
josenietop26,https://twitter.com/josenietop26,Oposición,Oposición,Oposición
IvanYaz,https://twitter.com/IvanYaz,Oposición,Oposición,Oposición
SoyAlexaJimenez,https://twitter.com/SoyAlexaJimenez,Ninguno,Ninguno,Ninguno
tomi56,https://twitter.com/tomi56,Oposición,Oposición,Oposición
TippingEnrique,https://twitter.com/TippingEnrique,Ninguno,Ninguno,Ninguno
miye715,https://twitter.com/miye715,Oposición,Oposición,Oposición
